,Address,Name,Type,Artist,Description,Year,Longitude,Latitude,Cluster
42,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8151070586048,144.941546516146,1.0
112,"41 Caravel Lane, DOCKLANDS",Ned and Dan,Art,Alexander Knox,Three-dimensional frieze,2006,-37.81464277494,144.940402722846,1.0
133,"45 Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8151113421446,144.941618390681,1.0
134,"50 Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8150603527985,144.941593770341,1.0
135,"50 Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8150519675867,144.941598936717,1.0
136,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8150889597275,144.941472613193,1.0
137,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8151593795233,144.941509412449,1.0
143,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8151345502614,144.941464635494,1.0
144,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8150877523684,144.941573967784,1.0
145,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.81508276715,144.941482783904,1.0
146,"50 Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8150528491189,144.94158776112,1.0
147,"45 Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8151131017782,144.941629273114,1.0
184,"20 Doepel Way, DOCKLANDS",Ned and Dan,Art,Alexander Knox,Three-dimensional frieze,2006,-37.8149351757693,144.940308036389,1.0
196,"21 Rakaia Way, DOCKLANDS",Ned and Dan,Art,Alexander Knox,Three-dimensional frieze,2006,-37.8146994633064,144.940838425061,1.0
197,"16 Doepel Way, DOCKLANDS",Ned and Dan,Art,Alexander Knox,Three-dimensional frieze,2006,-37.8148030334672,144.940223820648,1.0
198,"37 Caravel Lane, DOCKLANDS",Ned and Dan,Art,Alexander Knox,Three-dimensional frieze,2006,-37.81452427966,144.940608832218,1.0
212,"27 Caravel Lane, DOCKLANDS",Outside Inside Out,Art,Matthew McCarthy,Mural,2006,-37.814359230579,144.941130138162,1.0
226,"435 Docklands Drive, DOCKLANDS",Walk of Stars,Art,Peter Cortlett and Jamie Cooper,Bronze statue and plaques,2006,-37.8152982442351,144.938823236515,1.0
242,"435 Docklands Drive, DOCKLANDS",Walk of Stars,Art,Peter Cortlett and Jamie Cooper,Bronze statue and plaques,2006,-37.8152456579572,144.938853960352,1.0
246,"90 Railway Place, WEST MELBOURNE",Railway Viewing Platform,Art,Designer Bernice McPherson; architects Craig Perry and Peter Dann,Metal platform,1994,-37.8088169283775,144.943688304136,1.0
36,"443 Collins Street, MELBOURNE",John Batman Memorial (2),Monument,Stanley Hammond,Bronze statue,1978,-37.8176597509552,144.959772957148,2.0
53,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200765201921,144.959699691425,2.0
66,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.820111630197,144.959404150284,2.0
67,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200614090425,144.959718171092,2.0
68,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200953335,144.959704036718,2.0
71,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200830248455,144.959725218101,2.0
72,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201002457889,144.959733080966,2.0
73,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200785738744,144.959627380846,2.0
93,"422 Flinders Street, MELBOURNE","Another View, Site 8",Art,Ray Thomas,Stone and brass paving inlay,1994,-37.8194133196692,144.960198717453,2.0
120,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201003379632,144.959547579868,2.0
121,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201540531024,144.959283942501,2.0
122,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.820149525359,144.959318134551,2.0
123,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8202412036118,144.959153249799,2.0
139,"8 Riverside Quay, SOUTHBANK",Fault Line,Art,Hossein Valamesh,"Sandstone, wood and bronze sculpture",1996,-37.8211525582271,144.964238031747,2.0
159,"469 Flinders Street, MELBOURNE",Constellation,Art,Bruce Armstrong and Geoffrey Bartlett,"Stainless steel, copper and Cyrpus-pine sculpture",1996,-37.8202715915496,144.960597777255,2.0
160,"469 Flinders Street, MELBOURNE",Constellation,Art,Bruce Armstrong and Geoffrey Bartlett,"Stainless steel, copper and Cyrpus-pine sculpture",1996,-37.8202460956887,144.960662536874,2.0
161,"469 Flinders Street, MELBOURNE",Constellation,Art,Bruce Armstrong and Geoffrey Bartlett,"Stainless steel, copper and Cyrpus-pine sculpture",1996,-37.8202185496201,144.96072531937,2.0
162,"399 Flinders Street, MELBOURNE",Constellation,Art,Bruce Armstrong and Geoffrey Bartlett,"Stainless steel, copper and Cyrpus-pine sculpture",1996,-37.8201898206677,144.960789659507,2.0
163,"469 Flinders Street, MELBOURNE",Constellation,Art,Bruce Armstrong and Geoffrey Bartlett,"Stainless steel, copper and Cyrpus-pine sculpture",1996,-37.8202999349125,144.960534464342,2.0
167,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201325090472,144.959336879083,2.0
168,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200555636082,144.959698879153,2.0
172,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.82012299082,144.959360068025,2.0
188,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201019944052,144.959452353426,2.0
189,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201736797154,144.959200268537,2.0
199,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201043033663,144.959426584028,2.0
215,"Sandridge Bridge, SOUTHBANK",The Travellers,Art,Artist Nadim Karam; manufacturer Arup Engineering,Stainless-steel tubing and glass panel installation,2005,-37.8206998343058,144.962209921997,2.0
219,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.820097951228,144.959505265904,2.0
224,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8202194220305,144.959168439493,2.0
231,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201609405995,144.95922840946,2.0
232,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200608408543,144.959653574985,2.0
238,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201547396011,144.959252201884,2.0
239,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200541369817,144.959680160075,2.0
241,"437 Collins Street, MELBOURNE",John Pascoe Fawkner,Monument,Michael Meszaros,Bronze statue,1978,-37.8176770967418,144.959995275694,2.0
245,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201167536871,144.959381777078,2.0
255,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8200950553396,144.95952896712,2.0
257,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.820084055671,144.959593881825,2.0
260,"Enterprize Park, MELBOURNE",Scar - A Stolen Vision,Art,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",Wooden pier post and metal sculptures,2001,-37.8201046430242,144.959477986287,2.0
2,"Alexandra Gardens, St Kilda Road, MELBOURNE",Black Swan Memorial Drinking Fountain,Monument,Raymond B. Ewers,Bluestone drinking fountain with bronze plaque,1974,-37.8195705617737,144.971824407255,3.0
6,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8186973319473,144.974158800684,3.0
7,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8186738864394,144.974167165492,3.0
8,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8186882333343,144.974128540287,3.0
21,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187207058813,144.974110660022,3.0
22,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187157253887,144.974141691478,3.0
24,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",The Water Nymph,Art,Paul Montford,Bronze sculpture,1925,-37.8222098236425,144.971335339413,3.0
31,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187628091159,144.974136155999,3.0
32,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187508719706,144.974172398306,3.0
33,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",The Phoenix,Art,Yrsa Von Leister,Bronze and sheet copper statue,1973,-37.8221532701427,144.97095067818,3.0
43,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187745168339,144.974175613725,3.0
45,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",The Pathfinder,Art,John Edward Robinson,Bronze sculpture,1974,-37.8220280738117,144.970355228248,3.0
46,"Birrarung Marr, Batman Avenue, MELBOURNE",Stapley Memorial Drinking Fountain,Monument,unknown,Granite drinking fountain,1936,-37.8189109575006,144.973021274734,3.0
48,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187404835153,144.974102781582,3.0
50,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Lake Waterfall,Art,unknown,Stone waterfall,1973,-37.822086065767,144.971811018826,3.0
63,"90 St Kilda Road, SOUTHBANK",Farnex Hercules,Art,unknown,Marble bust with granite pedestal,1780,-37.8211093204271,144.969673137809,3.0
64,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Water Children,Art,John Edward Robinson,Bronze sculpture,c. 1970,-37.8221241223436,144.970661980986,3.0
78,"Birrarung Marr, MELBOURNE",Birrarung Wilam,Art,"Vicki Couzens, Lee Darroch and Treahna Hamm","Stone, wood, stainless steel, bronze, nickel and audio installation",2006,-37.8185922758306,144.971796362269,3.0
79,"Birrarung Marr, MELBOURNE",Birrarung Wilam,Art,"Vicki Couzens, Lee Darroch and Treahna Hamm","Stone, wood, stainless steel, bronze, nickel and audio installation",2006,-37.8185872210924,144.971784281509,3.0
91,"90 St Kilda Road, SOUTHBANK",Apollo Belvedere,Art,unknown,Marble and granite bust,unknown,-37.8210593434182,144.969757432433,3.0
105,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8186610069437,144.97413082954,3.0
141,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",The Genie,Art,Sculptor Tom Bass; founder F.J. & I. Lemon,Bronze sculpture,1973,-37.8214877401729,144.971194700662,3.0
149,"Birrarung Marr, MELBOURNE",Birrarung Wilam,Art,"Vicki Couzens, Lee Darroch and Treahna Hamm","Stone, wood, stainless steel, bronze, nickel and audio installation",2006,-37.8185907034456,144.971834942502,3.0
150,"Birrarung Marr, MELBOURNE",Birrarung Wilam,Art,"Vicki Couzens, Lee Darroch and Treahna Hamm","Stone, wood, stainless steel, bronze, nickel and audio installation",2006,-37.818595693813,144.971821646868,3.0
151,"Birrarung Marr, MELBOURNE",Birrarung Wilam,Art,"Vicki Couzens, Lee Darroch and Treahna Hamm","Stone, wood, stainless steel, bronze, nickel and audio installation",2006,-37.8185954753426,144.971808963839,3.0
155,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187023628084,144.974201916576,3.0
166,"Birrarung Marr, MELBOURNE",Speakers Corner,Art,Evangelos Sakaris,Earthwork and pink-granite memorial,c. 2000,-37.8200825876335,144.975716740604,3.0
181,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8187182202074,144.974179856228,3.0
182,"Birrarung Marr, MELBOURNE",Birrarung Wilam,Art,"Vicki Couzens, Lee Darroch and Treahna Hamm","Stone, wood, stainless steel, bronze, nickel and audio installation",2006,-37.8185914278651,144.971866175309,3.0
183,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Lady Janet Clarke Memorial,Monument,Herbert Black,Concrete and stamped copper rotunda,1913,-37.8223354912272,144.971835332477,3.0
204,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Domed Drinking Fountain,Art,unknown,Marble and granite drinking fountain,,-37.8212404231762,144.970769495267,3.0
233,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",King Edward VII Memorial,Monument,Sculptor Edgar Bertram Mackennal; founder A.B. Burton,Bronze statue with basalt and granite pedestal,1920,-37.8226717982934,144.970988232874,3.0
237,"Birrarung Marr, MELBOURNE",Eel Trap,Art,Fiona Clarke and Ken McKean,Plate-steel sculpture,2003,-37.8191221824373,144.97407578866,3.0
248,"Residence, Alexandra Gardens, Alexandra Avenue, MELBOURNE",Queen Victoria Memorial,Monument,James White,White marble and granite sculpture,1907,-37.8218411817137,144.972479044613,3.0
250,"Birrarung Marr, MELBOURNE",Federation Bells,Art,Designers Neil McLachlan and Anton Hasell,Bronze-alloy bells on galvanised-steel poles,2002,-37.8186666064737,144.974100167285,3.0
259,Birrarung Marr,Angel,Art,Deborah Halpern,"Ceramic, steel and concrete sculpture",1988,-37.8189542313538,144.972959186532,3.0
44,"11 Old Poplar Road, PARKVILLE",Zoo Paving,Art,Tanya Court and Kate Cullity,Coloured concrete paving,1995,-37.7825613531513,144.953293881649,4.0
104,"6 The Avenue, PARKVILLE",Burke and Wills Cairn,Monument,unknown,Stone cairn,1890,-37.7889280817664,144.956058081184,4.0
116,"4 The Avenue, PARKVILLE",James C. Roberts,Monument,unknown,Granite obelisk,unknown,-37.7891381500076,144.957053809565,4.0
175,"Melbourne Zoological Gardens, Elliott Avenue, PARKVILLE",Peter Pan,Art,Paul Montford,Bronze statue,1925,-37.784773009033,144.95236482558,4.0
186,"147 Royal Parade, PARKVILLE",George Hawkins Ievers Memorial Drinking Fountain,Monument,Charles Douglas Richardson,"Granite, marble and bluestone drinking fountain",1916,-37.7921729538839,144.958090253028,4.0
5,"200 Little Collins Street, MELBOURNE",Bandstand,Art,George Dodd,Concrete bandstand,1864,-37.8140548689972,144.96733868317,5.0
10,"98 Swanston Street, MELBOURNE",Coat of Arms,Art,City of Melbourne,Brass pavement inlay,1992,-37.8151582937289,144.966495940551,5.0
15,"44 Swanston Street, MELBOURNE",Beyond the Ocean of Existence,Art,Loretta Quinn,Bronze sculpture on granite plinth,1993,-37.8164236569551,144.967061542145,5.0
18,"104 Swanston Street, MELBOURNE",Coat of Arms,Art,City of Melbourne,Brass pavement inlay,1992,-37.8150481212229,144.966444170774,5.0
19,"102 Swanston Street, MELBOURNE",Coat of Arms,Art,City of Melbourne,Brass pavement inlay,1992,-37.815081401373,144.966458869013,5.0
20,"100 Swanston Street, MELBOURNE",Coat of Arms,Art,City of Melbourne,Brass pavement inlay,1992,-37.8151225543656,144.966479473485,5.0
26,"348 Bourke Street, MELBOURNE",The Public Purse,Art,Simon Perry,Calca red-granite and stainless-steel sculpture,1994,-37.8140976855607,144.963400769342,5.0
47,"173 Swanston Street, MELBOURNE",Three Businessmen Who Brought Their Own Lunch,Art,Alison Weaver and Paul Quinn,Bronze sculpture,1993,-37.8136854004532,144.965574539781,5.0
61,"114 Russell Street, MELBOURNE",Ceremony and Vehicle for Conveying Spirit,Art,Maurie Hughes,"Silicon bronze, galvanized and mild steel sculpture",1996,-37.8136957980367,144.968513035861,5.0
65,"City Square, Collins St, MELBOURNE",Mockridge Fountain,Fountain,"Ron Jones, Simon Perry and Darryl Cowie",Concrete fountain,c. 2000,-37.8155224156707,144.966994359113,5.0
86,"335 Swanston Street, MELBOURNE",Resting Place,Art,Bronwyn Snow,Steel and jarrah seat,1994,-37.8103720817164,144.964076502567,5.0
90,"147 Russell Street, MELBOURNE","A History Apparatus - Vessel, Craft & Beacon",Art,Chris Reynolds,"Steel and fibreglass sculpture on bitumen, concrete and bluestone foundation",1993,-37.8130493620338,144.968210969062,5.0
92,"154 Collins Street, MELBOURNE","Another View, Site 17",Art,Ray Thomas,Bluestone paver with brass inlay,1994-1995,-37.8148051249324,144.968381003481,5.0
98,"324 Swanston Street, MELBOURNE",Architectural Fragment,Art,Petrus Spronk,Bluestone sculpture,1992,-37.8098275629139,144.96404608881,5.0
103,"84 Swanston Street, MELBOURNE",Burke and Wills Monument,Monument,Charles Summers,Bronze statue with granite pedestal,1865,-37.8156337321238,144.966703993713,5.0
110,"30 Swanston Street, MELBOURNE",Captain Matthew Flinders Statue,Monument,Sculptor Charles Web Gilbert; founder F. Barbedienne,Bronze statue with granite plinth,1923,-37.8169633123315,144.967487606224,5.0
128,"152 Collins Street, MELBOURNE",Georges Fountain,Fountain,Peter Staughton,Bluestone and concrete fountain,1981,-37.8147653368517,144.968373912562,5.0
129,"215 Collins Street, MELBOURNE",Larry LaTrobe,Art,Pamela Irving,Bronze sculpture,1992 and 1996,-37.8155485668529,144.966892078324,5.0
142,"219 Swanston Street, MELBOURNE",The Echo,Art,Edward Ginger,Steel plate sculpture with polyurethane paint,1996,-37.812705684744,144.965153944033,5.0
157,"184 Swanston Street, MELBOURNE",Weathervanes,Art,Daniel Jenkins,Hand-beaten copper sculpture with gold-leaf detail,1993,-37.8134422577685,144.965689009116,5.0
165,"Royal Mail House, cnr Bourke & Swanston Sts, MELBOURNE",Maxims of Behaviour,Art,Alexander Knox,Kinetic light installation,2008,-37.8136024551412,144.965808885624,5.0
169,"78 Swanston Street, MELBOURNE",Painted Poles,Art,Maree Clarke and Sonja Hodge,Metal poles,1992,-37.815760994936,144.966773537312,5.0
171,"50 Swanston Street, MELBOURNE",Painted Poles,Art,Maree Clarke and Sonja Hodge,Metal poles,1992,-37.8162685331984,144.967006461765,5.0
174,"201 Swanston Street, MELBOURNE",Personal Islands,Art,Robert Jacks,Brass and bluestone,1992,-37.8129540664935,144.965264917067,5.0
208,"270 Bourke Street, MELBOURNE",Weathervanes,Art,Daniel Jenkins,Hand-beaten copper sculpture with gold-leaf detail,1993,-37.8134883855915,144.965515931433,5.0
209,"178 Swanston Street, MELBOURNE",Weathervanes,Art,Daniel Jenkins,Hand-beaten copper sculpture with gold-leaf detail,1993,-37.8135755457342,144.965751391423,5.0
211,"271 Bourke Street, MELBOURNE",Weathervanes,Art,Daniel Jenkins,Hand-beaten copper sculpture with gold-leaf detail,1993,-37.8136266014549,144.965579210749,5.0
223,"Cohen Pl, CHINATOWN",Chinese Lion Guardians,Art,unknown,Marble lions,unknown,-37.8112537359422,144.969347727216,5.0
228,"322 Swanston Street, MELBOURNE",Painted Poles,Art,Jennifer McCarthy,Metal poles,1992,-37.8099325911658,144.964088812819,5.0
229,"316 Swanston Street, MELBOURNE",Painted Poles,Art,Jennifer McCarthy,Metal poles,1992,-37.8100968762417,144.964165129049,5.0
230,"308 Swanston Street, MELBOURNE",Painted Poles,Art,Jennifer McCarthy,Metal poles,1992,-37.810347145096,144.964280610813,5.0
234,"252 Little Collins Street, MELBOURNE",Time and Tide,Art,Akio Makigawa,"Bluestone, white marble, bronze and stainless-steel sculpture",1994,-37.8143983948935,144.96625088381,5.0
258,"78 Swanston Street, MELBOURNE",Painted Poles,Art,Maree Clarke and Sonja Hodge,Metal poles,1992,-37.8157410618987,144.966836246828,5.0
4,76 Canning Street,Bird Panels,Art,Di Christensen and Bernice McPherson,Stainless-steel panels,1995,-37.7953526839703,144.940687314302,6.0
60,"241 Macaulay Road, NORTH MELBOURNE",Clayton Reserve Drinking Fountain,Fountain,unknown,Granite drinking fountain,1935,-37.7956635739188,144.938934811008,6.0
117,76 Canning Street,Hotham Hill Paving Inlay,Art,Bernice McPherson,Ceramic tiles and asphalt,1995,-37.7949047942895,144.940383521588,6.0
191,76 Canning Street,Hotham Hill Seat,Art,"Bernice McPherson, Di Christensen and Craig Perry",Steel seat,,-37.7949351874639,144.940340735749,6.0
3,"13 Harbour Esplanade, DOCKLANDS",Blowhole,Art,Duncan Stemler,Stainless-steel and aluminium sculpture,2005,-37.8220182164578,144.946871022845,7.0
9,"15 Harbour Esplanade, DOCKLANDS",Blowhole,Art,Duncan Stemler,Stainless-steel and aluminium sculpture,2005,-37.8219107218802,144.946765134735,7.0
